Season,Away,Home,Away Score,Home Score,Away Rosters,Home Rosters
2026,Sacramento Kings,Milwaukee Bucks,135,133,Zach LaVine;DeMar DeRozan;Domantas Sabonis;Russell Westbrook;Maxime Raynaud;Daeqwon Plowden;Dennis Schröder;De'Andre Hunter;Nique Clifford;Precious Achiuwa;Malik Monk;Dylan Cardwell;DaQuan Jeffries;Devin Carter;Killian Hayes;Keon Ellis;Doug McDermott;Patrick Baldwin Jr.;Isaiah Stevens;Drew Eubanks;Dario Šarić;Isaac Jones,Ryan Rollins;A.J. Green;Giannis Antetokounmpo;Myles Turner;Ousmane Dieng;Kyle Kuzma;Cormac Ryan;Bobby Portis;Taurean Prince;Gary Trent Jr.;Jericho Sims;Cam Thomas;Pete Nance;Cole Anthony;Gary Harris;Amir Coffey;Andre Jackson Jr.;Thanasis Antetokounmpo;Mark Sears;Alex Antetokounmpo
2026,Minnesota Timberwolves,Charlotte Hornets,122,105,Julius Randle;Jaden McDaniels;Rudy Gobert;Donte DiVincenzo;Ayo Dosunmu;Naz Reid;Kyle Anderson;Mike Conley;Bones Hyland;Jaylen Clark;Terrence Shannon Jr.;Rob Dillingham;Enrique Freeman;Zyon Pullin;Joan Beringer;Julian Phillips;Rocco Zikarsky;Joe Ingles;Leonard Miller;Johnny Juzang,Miles Bridges;Brandon Miller;LaMelo Ball;Moussa Diabaté;Sion James;Collin Sexton;Ryan Kalkbrenner;Grant Williams;Coby White;KJ Simpson;Josh Green;PJ Hall;Tidjane Salaün;Tre Mann;Liam McNeeley;Drew Peterson;Mason Plumlee;Pat Connaughton;Antonio Reeves;Xavier Tillman Sr.
2026,Golden State Warriors,Indiana Pacers,109,114,Stephen Curry;Brandin Podziemski;Draymond Green;Moses Moody;Jonathan Kuminga;Kristaps Porziņģis;De'Anthony Melton;Al Horford;Gui Santos;Charles Bassey;Will Richard;Pat Spencer;Buddy Hield;Quinten Post;Nate Williams;LJ Cryer;Gary Payton II;Seth Curry;Omer Yurtseven;Trayce Jackson-Davis;Malevy Leons,Bennedict Mathurin;Andrew Nembhard;Aaron Nesmith;Jarace Walker;Kobe Brown;Jalen Slawson;Ivica Zubac;Ben Sheppard;Jay Huff;Ethan Thompson;Micah Potter;Johnny Furphy;Quenton Jackson;Obi Toppin;Jeremiah Robinson-Earl;T.J. McConnell;Isaiah Jackson;Kam Jones;James Wiseman;Cody Martin;Garrison Mathews;Taelon Peter;RayJ Dennis;Mac McClung;Tony Bradley;Monte Morris
2026,Orlando Magic,Washington Wizards,125,94,Desmond Bane;Franz Wagner;Anthony Black;Wendell Carter Jr.;Jalen Suggs;Tristan Da Silva;Jevon Carter;Tyus Jones;Goga Bitadze;Noah Penda;Jett Howard;Jamal Cain;Moritz Wagner;Jase Richardson;Jonathan Isaac;Orlando Robinson;Alex Morales;Colin Castleton,CJ McCollum;Kyshawn George;Leaky Black;Bub Carrington;Alex Sarr;Bilal Coulibaly;Alondes Williams;Khris Middleton;Tre Johnson;Kadary Richmond;Will Riley;Trae Young;Jamir Watkins;Jaden Hardy;Justin Champagnie;Corey Kispert;Marvin Bagley III;Anthony Gill;Sharife Cooper;Cam Whitmore;Keshon Gilbert;Tristan Vukcevic;Skal Labissière;Malaki Branham;AJ Johnson
2026,Houston Rockets,Boston Celtics,128,101,Kevin Durant;Jabari Smith Jr.;Alperen Şengün;Reed Sheppard;Tari Eason;Steven Adams;Josh Okogie;Dorian Finney-Smith;Aaron Holiday;Clint Capela;Tristen Newton;Jae'Sean Tate;JD Davison;Isaiah Crawford;Jeff Green,Derrick White;Jayson Tatum;Payton Pritchard;Neemias Queta;Sam Hauser;Anfernee Simons;Nikola Vučević;Baylor Scheierman;Jordan Walsh;Luka Garza;Josh Minott;Hugo González;Dalano Banton;Ron Harper Jr.;Chris Boucher;Xavier Tillman Sr.;John Tonje;Amari Williams;Charles Bassey;Max Shulga
2026,Dallas Mavericks,Detroit Pistons,110,122,Anthony Davis;P.J. Washington;Naji Marshall;Max Christie;Brandon Williams;Klay Thompson;Daniel Gafford;Marvin Bagley III;Khris Middleton;Ryan Nembhard;John Poulakidas;D'Angelo Russell;Tyus Jones;Dereck Lively II;Caleb Martin;Dwight Powell;Moussa Cisse;Tyler Smith;Jaden Hardy;Jeremiah Robinson-Earl;AJ Johnson;Miles Kelly,Jalen Duren;Tobias Harris;Duncan Robinson;Ausar Thompson;Isaiah Stewart;Kevin Huerter;Daniss Jenkins;Ron Holland;Caris LeVert;Javonte Green;Jaden Ivey;Paul Reed;Marcus Sasser;Wendell Moore Jr.;Tolu Smith;Chaz Lanier;Colby Jones;Bobi Klintman;Isaac Jones
2026,New Orleans Pelicans,Oklahoma City Thunder,106,137,Saddiq Bey;Zion Williamson;Herbert Jones;Dejounte Murray;Josh Oduro;Jeremiah Fears;Derik Queen;Jordan Poole;Jose Alvarado;Bryce McGowens;Yves Missi;DeAndre Jordan;Micah Peavy;Karlo Matković;Kevon Looney;Jordan Hawkins;Trey Alexander;Hunter Dickinson,Chet Holmgren;Jalen Williams;Luguentz Dort;Cason Wallace;Ajay Mitchell;Isaiah Hartenstein;Aaron Wiggins;Isaiah Joe;Jaylin Williams;Alex Caruso;Jared McCain;Nikola Topić;Payton Sandfort;Kenrich Williams;Branden Carlson;Ousmane Dieng;Brooks Barnhizer;Chris Youngblood;Buddy Boeheim
2026,Philadelphia 76ers,Brooklyn Nets,129,105,VJ Edgecombe;Joel Embiid;Kelly Oubre Jr.;Paul George;Quentin Grimes;Dominick Barlow;Andre Drummond;Adem Bona;Cameron Payne;Jared McCain;Trendon Watford;Justin Edwards;MarJon Beauchamp;Dalen Terry;Eric Gordon;Jabari Walker;Tyrese Martin;Kyle Lowry;Johni Broome;Charles Bassey;Hunter Sallis;Patrick Baldwin Jr.,Tre Scott;Nic Claxton;Noah Clowney;Egor Dёmin;Terance Mann;Cam Thomas;Malachi Smith;Ziaire Williams;Nolan Traoré;Drake Powell;Danny Wolf;Ben Saraf;Chaney Johnson;Josh Minott;Tyrese Martin;Day'Ron Sharpe;Ochai Agbaji;Jalen Wilson;Tyson Etienne;E.J. Liddell;Grant Nelson
2026,Utah Jazz,Charlotte Hornets,103,126,Andersson Garcia;Keyonte George;Bez Mbeng;Kennedy Chandler;Walker Kessler;Ace Bailey;Jusuf Nurkić;John Konchar;Isaiah Collier;Hayden Gray;Cody Williams;Jaren Jackson Jr.;Brice Sensabaugh;Kyle Filipowski;Svi Mykhailiuk;Elijah Harkless;Blake Hinson;Kyle Anderson;Mo Bamba;Walter Clayton;Kevin Love;Oscar Tshiebwe;Taylor Hendricks;Vince Williams Jr.,Miles Bridges;Brandon Miller;LaMelo Ball;Moussa Diabaté;Sion James;Collin Sexton;Ryan Kalkbrenner;Grant Williams;Coby White;KJ Simpson;Josh Green;PJ Hall;Tidjane Salaün;Tre Mann;Liam McNeeley;Drew Peterson;Mason Plumlee;Pat Connaughton;Antonio Reeves;Xavier Tillman Sr.
2026,Atlanta Hawks,Cleveland Cavaliers,109,117,Nickeil Alexander-Walker;Dyson Daniels;Onyeka Okongwu;CJ McCollum;Trae Young;Keshon Gilbert;Kristaps Porziņģis;Zaccharie Risacher;Vít Krejčí;Jonathan Kuminga;Luke Kennard;Jock Landale;Corey Kispert;Mouhamed Gueye;Gabe Vincent;Asa Newell;RayJ Dennis;Tony Bradley;Christian Koloko;Keaton Wallace;Buddy Hield;Caleb Houstan;N'Faly Dante;Jacob Toppin,Donovan Mitchell;Evan Mobley;Darius Garland;Jarrett Allen;Jaylon Tyson;Sam Merrill;De'Andre Hunter;Keon Ellis;Max Strus;Dean Wade;Dennis Schröder;Lonzo Ball;Craig Porter Jr.;Nae'Qwan Tomlin;Larry Nance Jr.;Thomas Bryant;Tyrese Proctor;Olivier Sarr;Tristan Enaruna;Luke Travers;Riley Minix;Chris Livingston;Darius Brown II
