Season,Team,Player,Position,MP,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,OFE,DFE
2010,Boston Celtics,Ray Allen,SG,35.2,1.8,5.0,4.0,7.2,2.9,3.2,0.6,2.6,2.6,0.8,0.3,1.6,2.3,16.3,2.340909090909091,0.17329545454545456
2010,Boston Celtics,Paul Pierce,SF,34.0,1.5,3.7,4.2,8.5,5.2,6.1,0.5,3.8,3.1,1.2,0.4,2.3,2.8,18.3,2.658823529411765,0.34117647058823525
2010,Boston Celtics,Kevin Garnett,PF,29.9,0.0,0.1,5.8,11.1,2.7,3.2,1.1,6.2,2.7,1.0,0.8,1.5,2.5,14.3,2.4280936454849504,0.8260869565217392
2010,Boston Celtics,Kendrick Perkins,C,27.6,0.0,0.0,4.0,6.7,2.1,3.6,2.0,5.6,1.0,0.3,1.7,2.1,2.8,10.1,1.6014492753623186,0.86231884057971
2010,Boston Celtics,Rasheed Wallace,C,22.5,1.0,3.7,2.3,4.6,1.2,1.6,0.5,3.6,1.0,1.0,0.9,0.8,2.8,9.0,1.6444444444444444,0.6044444444444446
2010,Boston Celtics,Oliver Lafayette,SG,22.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,7.0,1.8181818181818181,0.5454545454545454
2010,Boston Celtics,Marquis Daniels,SF,18.4,0.1,0.5,2.3,4.3,0.7,1.1,0.5,1.3,1.3,0.5,0.1,0.8,1.8,5.6,1.4891304347826086,0.0
2010,Boston Celtics,Glen Davis,PF,17.3,0.0,0.1,2.3,5.1,1.8,2.6,1.9,1.9,0.6,0.4,0.3,1.0,2.4,6.3,1.514450867052023,0.023121387283237014
2010,Boston Celtics,Eddie House,PG,16.9,1.3,3.3,1.3,3.1,0.7,0.8,0.1,1.2,1.0,0.6,0.1,0.5,1.2,7.2,1.988165680473373,0.18934911242603547
2010,Boston Celtics,Tony Allen,SG,16.5,0.0,0.1,2.4,4.6,1.3,2.2,1.0,1.7,1.3,1.1,0.4,1.2,2.0,6.1,1.7090909090909092,0.4000000000000001
2010,Boston Celtics,Michael Finley,SF,15.0,0.9,2.0,1.2,2.2,0.1,0.3,0.0,1.5,1.1,0.2,0.1,0.4,1.0,5.2,1.8933333333333333,0.2
2010,Boston Celtics,Nate Robinson,PG,14.7,1.4,3.3,1.0,2.7,0.3,0.5,0.2,1.3,2.0,0.8,0.0,0.8,1.9,6.5,2.3537414965986394,0.034013605442176874
2010,Boston Celtics,Shelden Williams,PF,11.1,0.0,0.0,1.2,2.2,1.4,1.8,0.9,1.8,0.4,0.2,0.4,0.6,1.6,3.7,1.6396396396396395,0.32432432432432445
