Season,Teams
2010,"['Boston Celtics', 'Toronto Raptors', 'New York Knicks', 'Philadelphia 76ers', 'New Jersey Nets', 'Cleveland Cavaliers', 'Milwaukee Bucks', 'Chicago Bulls', 'Indiana Pacers', 'Detroit Pistons', 'Orlando Magic', 'Atlanta Hawks', 'Miami Heat', 'Charlotte Bobcats', 'Washington Wizards', 'Denver Nuggets', 'Utah Jazz', 'Portland Trail Blazers', 'Oklahoma City Thunder', 'Minnesota Timberwolves', 'Los Angeles Lakers', 'Phoenix Suns', 'Los Angeles Clippers', 'Golden State Warriors', 'Sacramento Kings', 'Dallas Mavericks', 'San Antonio Spurs', 'Houston Rockets', 'Memphis Grizzlies', 'New Orleans Hornets']"
2011,"['Boston Celtics', 'New York Knicks', 'Philadelphia 76ers', 'New Jersey Nets', 'Toronto Raptors', 'Chicago Bulls', 'Indiana Pacers', 'Milwaukee Bucks', 'Detroit Pistons', 'Cleveland Cavaliers', 'Miami Heat', 'Orlando Magic', 'Atlanta Hawks', 'Charlotte Bobcats', 'Washington Wizards', 'Oklahoma City Thunder', 'Denver Nuggets', 'Portland Trail Blazers', 'Utah Jazz', 'Minnesota Timberwolves', 'Los Angeles Lakers', 'Phoenix Suns', 'Golden State Warriors', 'Los Angeles Clippers', 'Sacramento Kings', 'San Antonio Spurs', 'Dallas Mavericks', 'New Orleans Hornets', 'Memphis Grizzlies', 'Houston Rockets']"
2012,"['Boston Celtics', 'New York Knicks', 'Philadelphia 76ers', 'Toronto Raptors', 'New Jersey Nets', 'Chicago Bulls', 'Indiana Pacers', 'Milwaukee Bucks', 'Detroit Pistons', 'Cleveland Cavaliers', 'Miami Heat', 'Atlanta Hawks', 'Orlando Magic', 'Washington Wizards', 'Charlotte Bobcats', 'Oklahoma City Thunder', 'Denver Nuggets', 'Utah Jazz', 'Portland Trail Blazers', 'Minnesota Timberwolves', 'Los Angeles Lakers', 'Los Angeles Clippers', 'Phoenix Suns', 'Golden State Warriors', 'Sacramento Kings', 'San Antonio Spurs', 'Memphis Grizzlies', 'Dallas Mavericks', 'Houston Rockets', 'New Orleans Hornets']"
2013,"['New York Knicks', 'Brooklyn Nets', 'Boston Celtics', 'Philadelphia 76ers', 'Toronto Raptors', 'Indiana Pacers', 'Chicago Bulls', 'Milwaukee Bucks', 'Detroit Pistons', 'Cleveland Cavaliers', 'Miami Heat', 'Atlanta Hawks', 'Washington Wizards', 'Charlotte Bobcats', 'Orlando Magic', 'Oklahoma City Thunder', 'Denver Nuggets', 'Utah Jazz', 'Portland Trail Blazers', 'Minnesota Timberwolves', 'Los Angeles Clippers', 'Golden State Warriors', 'Los Angeles Lakers', 'Sacramento Kings', 'Phoenix Suns', 'San Antonio Spurs', 'Memphis Grizzlies', 'Houston Rockets', 'Dallas Mavericks', 'New Orleans Hornets']"
2014,"['Toronto Raptors', 'Brooklyn Nets', 'New York Knicks', 'Boston Celtics', 'Philadelphia 76ers', 'Indiana Pacers', 'Chicago Bulls', 'Cleveland Cavaliers', 'Detroit Pistons', 'Milwaukee Bucks', 'Miami Heat', 'Washington Wizards', 'Charlotte Bobcats', 'Atlanta Hawks', 'Orlando Magic', 'Oklahoma City Thunder', 'Portland Trail Blazers', 'Minnesota Timberwolves', 'Denver Nuggets', 'Utah Jazz', 'Los Angeles Clippers', 'Golden State Warriors', 'Phoenix Suns', 'Sacramento Kings', 'Los Angeles Lakers', 'San Antonio Spurs', 'Houston Rockets', 'Memphis Grizzlies', 'Dallas Mavericks', 'New Orleans Pelicans']"
2015,"['Toronto Raptors', 'Boston Celtics', 'Brooklyn Nets', 'Philadelphia 76ers', 'New York Knicks', 'Cleveland Cavaliers', 'Chicago Bulls', 'Milwaukee Bucks', 'Indiana Pacers', 'Detroit Pistons', 'Atlanta Hawks', 'Washington Wizards', 'Miami Heat', 'Charlotte Hornets', 'Orlando Magic', 'Portland Trail Blazers', 'Oklahoma City Thunder', 'Utah Jazz', 'Denver Nuggets', 'Minnesota Timberwolves', 'Golden State Warriors', 'Los Angeles Clippers', 'Phoenix Suns', 'Sacramento Kings', 'Los Angeles Lakers', 'Houston Rockets', 'Memphis Grizzlies', 'San Antonio Spurs', 'Dallas Mavericks', 'New Orleans Pelicans']"
2016,"['Cleveland Cavaliers', 'Toronto Raptors', 'Miami Heat', 'Atlanta Hawks', 'Boston Celtics', 'Charlotte Hornets', 'Indiana Pacers', 'Detroit Pistons', 'Chicago Bulls', 'Washington Wizards', 'Orlando Magic', 'Milwaukee Bucks', 'New York Knicks', 'Brooklyn Nets', 'Philadelphia 76ers', 'Golden State Warriors', 'San Antonio Spurs', 'Oklahoma City Thunder', 'Los Angeles Clippers', 'Portland Trail Blazers', 'Dallas Mavericks', 'Memphis Grizzlies', 'Houston Rockets', 'Utah Jazz', 'Sacramento Kings', 'Denver Nuggets', 'New Orleans Pelicans', 'Minnesota Timberwolves', 'Phoenix Suns', 'Los Angeles Lakers']"
2017,"['Boston Celtics', 'Cleveland Cavaliers', 'Toronto Raptors', 'Washington Wizards', 'Atlanta Hawks', 'Milwaukee Bucks', 'Indiana Pacers', 'Chicago Bulls', 'Miami Heat', 'Detroit Pistons', 'Charlotte Hornets', 'New York Knicks', 'Orlando Magic', 'Philadelphia 76ers', 'Brooklyn Nets', 'Golden State Warriors', 'San Antonio Spurs', 'Houston Rockets', 'Los Angeles Clippers', 'Utah Jazz', 'Oklahoma City Thunder', 'Memphis Grizzlies', 'Portland Trail Blazers', 'Denver Nuggets', 'New Orleans Pelicans', 'Dallas Mavericks', 'Sacramento Kings', 'Minnesota Timberwolves', 'Los Angeles Lakers', 'Phoenix Suns']"
2018,"['Toronto Raptors', 'Boston Celtics', 'Philadelphia 76ers', 'Cleveland Cavaliers', 'Indiana Pacers', 'Miami Heat', 'Milwaukee Bucks', 'Washington Wizards', 'Detroit Pistons', 'Charlotte Hornets', 'New York Knicks', 'Brooklyn Nets', 'Chicago Bulls', 'Orlando Magic', 'Atlanta Hawks', 'Houston Rockets', 'Golden State Warriors', 'Portland Trail Blazers', 'Oklahoma City Thunder', 'Utah Jazz', 'New Orleans Pelicans', 'San Antonio Spurs', 'Minnesota Timberwolves', 'Denver Nuggets', 'Los Angeles Clippers', 'Los Angeles Lakers', 'Sacramento Kings', 'Dallas Mavericks', 'Memphis Grizzlies', 'Phoenix Suns']"
2019,"['Milwaukee Bucks', 'Toronto Raptors', 'Philadelphia 76ers', 'Boston Celtics', 'Indiana Pacers', 'Brooklyn Nets', 'Orlando Magic', 'Detroit Pistons', 'Charlotte Hornets', 'Miami Heat', 'Washington Wizards', 'Atlanta Hawks', 'Chicago Bulls', 'Cleveland Cavaliers', 'New York Knicks', 'Golden State Warriors', 'Denver Nuggets', 'Portland Trail Blazers', 'Houston Rockets', 'Utah Jazz', 'Oklahoma City Thunder', 'San Antonio Spurs', 'Los Angeles Clippers', 'Sacramento Kings', 'Los Angeles Lakers', 'Minnesota Timberwolves', 'Memphis Grizzlies', 'New Orleans Pelicans', 'Dallas Mavericks', 'Phoenix Suns']"
