Season,Team,Pace,2P,0-3,3-10,10-16,16-3P,3P
2010,Atlanta Hawks,92.0,0.491,0.613,0.383,0.388,0.415,0.345
2010,Boston Celtics,91.4,0.481,0.596,0.429,0.391,0.405,0.342
2010,Charlotte Bobcats,93.8,0.486,0.59,0.404,0.398,0.395,0.338
2010,Chicago Bulls,91.7,0.472,0.57,0.426,0.396,0.387,0.348
2010,Cleveland Cavaliers,90.1,0.471,0.59,0.398,0.377,0.407,0.347
2010,Dallas Mavericks,95.3,0.488,0.618,0.422,0.406,0.404,0.347
2010,Denver Nuggets,92.8,0.487,0.607,0.438,0.408,0.383,0.349
2010,Detroit Pistons,94.8,0.515,0.63,0.422,0.414,0.432,0.375
2010,Golden State Warriors,91.6,0.515,0.662,0.422,0.406,0.416,0.375
2010,Houston Rockets,87.7,0.503,0.629,0.465,0.391,0.399,0.364
2010,Indiana Pacers,93.1,0.476,0.592,0.404,0.415,0.409,0.363
2010,Los Angeles Clippers,92.5,0.499,0.614,0.429,0.414,0.413,0.363
2010,Los Angeles Lakers,89.6,0.481,0.599,0.399,0.406,0.398,0.328
2010,Memphis Grizzlies,91.7,0.517,0.629,0.473,0.395,0.398,0.354
2010,Miami Heat,90.4,0.469,0.58,0.429,0.383,0.39,0.342
2010,Milwaukee Bucks,94.0,0.478,0.582,0.416,0.422,0.39,0.343
2010,Minnesota Timberwolves,93.6,0.517,0.662,0.457,0.411,0.4,0.366
2010,New Jersey Nets,93.1,0.509,0.618,0.415,0.424,0.415,0.366
2010,New Orleans Hornets,93.1,0.52,0.644,0.468,0.375,0.426,0.355
2010,New York Knicks,92.6,0.525,0.633,0.494,0.405,0.426,0.352
2010,Oklahoma City Thunder,97.1,0.476,0.602,0.381,0.368,0.371,0.34
2010,Orlando Magic,100.4,0.459,0.577,0.388,0.397,0.39,0.363
2010,Philadelphia 76ers,94.0,0.497,0.607,0.446,0.411,0.385,0.393
2010,Phoenix Suns,91.6,0.479,0.599,0.399,0.408,0.403,0.355
2010,Portland Trail Blazers,94.0,0.499,0.622,0.444,0.39,0.398,0.343
2010,Sacramento Kings,91.6,0.497,0.643,0.398,0.402,0.404,0.357
2010,San Antonio Spurs,88.5,0.476,0.59,0.414,0.417,0.404,0.343
2010,Toronto Raptors,92.6,0.501,0.614,0.412,0.416,0.42,0.366
2010,Utah Jazz,96.1,0.48,0.607,0.411,0.358,0.381,0.354
2010,Washington Wizards,91.4,0.492,0.664,0.371,0.403,0.395,0.36
2011,Atlanta Hawks,90.9,0.492,0.65,0.404,0.409,0.415,0.338
2011,Boston Celtics,90.4,0.459,0.609,0.389,0.367,0.376,0.34
2011,Charlotte Bobcats,90.7,0.487,0.63,0.378,0.382,0.407,0.359
2011,Chicago Bulls,92.3,0.456,0.632,0.345,0.389,0.378,0.326
2011,Cleveland Cavaliers,90.4,0.495,0.652,0.38,0.432,0.404,0.411
2011,Dallas Mavericks,91.2,0.481,0.664,0.401,0.396,0.367,0.343
2011,Denver Nuggets,95.6,0.495,0.66,0.416,0.412,0.4,0.344
2011,Detroit Pistons,91.3,0.523,0.677,0.405,0.404,0.427,0.358
2011,Golden State Warriors,92.7,0.501,0.658,0.392,0.366,0.432,0.358
2011,Houston Rockets,91.9,0.492,0.661,0.397,0.409,0.417,0.358
2011,Indiana Pacers,94.2,0.473,0.622,0.398,0.368,0.42,0.359
